date,fips,cases,deaths
3/9/2020,25021,10,0
3/9/2020,25025,10,0
3/9/2020,25027,1,0
3/9/2020,27019,1,0
3/9/2020,27123,1,0
3/9/2020,29189,1,0
3/9/2020,31055,16,0
3/9/2020,32003,2,0
3/9/2020,32031,2,0
3/9/2020,33009,3,0
3/9/2020,33015,1,0
3/9/2020,34003,5,0
3/9/2020,34007,1,0
3/9/2020,34017,1,0
3/9/2020,34025,2,0
3/9/2020,34031,1,0
3/9/2020,34039,1,0
3/9/2020,36059,17,0
3/9/2020,,20,0
3/9/2020,36087,4,0
3/9/2020,36091,2,0
3/9/2020,36103,1,0
3/9/2020,36111,1,0
3/9/2020,36119,97,0
3/9/2020,37037,1,0
3/9/2020,37183,6,0
3/9/2020,39035,3,0
3/9/2020,40143,1,0
3/9/2020,41019,1,0
3/9/2020,41029,2,0
3/9/2020,41035,1,0
3/9/2020,41047,1,0
3/9/2020,41067,8,0
3/9/2020,42045,1,0
3/9/2020,42089,1,0
3/9/2020,42091,7,0
3/9/2020,42127,1,0
3/9/2020,,3,0
3/9/2020,45019,1,0
3/9/2020,45055,5,0
3/9/2020,45083,1,0
3/9/2020,47037,1,0
3/9/2020,47157,1,0
3/9/2020,47187,2,0
3/9/2020,48029,11,0
3/9/2020,48085,1,0
3/9/2020,48157,6,0
3/9/2020,48201,6,0
3/9/2020,49011,1,0
3/9/2020,49035,1,0
3/9/2020,49053,1,0
3/9/2020,50003,1,0
3/9/2020,51059,4,0
3/9/2020,51810,1,0
3/9/2020,53007,1,1
3/9/2020,53011,1,0
3/9/2020,53031,1,0
3/9/2020,53033,117,21
3/9/2020,53035,1,0
3/9/2020,53037,1,0
3/9/2020,53053,7,0
3/9/2020,53061,45,0
3/9/2020,53063,4,0
3/9/2020,53071,1,0
3/9/2020,55025,1,0
3/9/2020,55093,1,0
3/10/2020,4013,2,0
3/10/2020,4019,1,0
